wo_material_id,wo_id,supplier_id,material_desc,quantity,unit_cost,total_cost,origin_system
WOM-0000290,WO-000479,SUP-094,Coupling,19,2960.12,56242.28,GCP-BigQuery
WOM-0000291,WO-000479,SUP-062,Motor winding kit,2,1429.43,2858.86,GCP-BigQuery
WOM-0000292,WO-000481,SUP-031,Seal assembly,5,2571.38,12856.9,GCP-BigQuery
WOM-0000293,WO-000481,SUP-016,Coupling,3,2099.45,6298.35,GCP-BigQuery
WOM-0000294,WO-000481,SUP-096,Gasket kit,9,631.47,5683.23,GCP-BigQuery
WOM-0000295,WO-000483,SUP-092,Pressure transmitter,16,3914.78,62636.48,GCP-BigQuery
WOM-0000296,WO-000485,SUP-017,Gasket kit,17,3748.85,63730.45,GCP-BigQuery
WOM-0000297,WO-000485,SUP-036,Valve actuator,10,444.63,4446.3,GCP-BigQuery
WOM-0000298,WO-000485,SUP-102,Gasket kit,12,1360.58,16326.96,GCP-BigQuery
WOM-0000299,WO-000486,SUP-007,Lubricant drum,8,1831.91,14655.28,GCP-BigQuery
WOM-0000300,WO-000491,SUP-004,Coupling,2,2082.87,4165.74,GCP-BigQuery
WOM-0000301,WO-000491,SUP-099,Motor winding kit,6,3752.34,22514.04,GCP-BigQuery
WOM-0000302,WO-000491,SUP-061,Seal assembly,11,3206.47,35271.17,GCP-BigQuery
WOM-0000303,WO-000494,SUP-139,Impeller,19,860.66,16352.54,GCP-BigQuery
WOM-0000304,WO-000494,SUP-040,Filter element,6,3722.35,22334.1,GCP-BigQuery
WOM-0000305,WO-000495,SUP-101,Valve actuator,1,1774.13,1774.13,GCP-BigQuery
WOM-0000306,WO-000495,SUP-061,Lubricant drum,9,1183.39,10650.51,GCP-BigQuery
WOM-0000307,WO-000496,SUP-134,Lubricant drum,16,2737.4,43798.4,GCP-BigQuery
WOM-0000308,WO-000496,SUP-081,Gasket kit,13,3435.45,44660.85,GCP-BigQuery
WOM-0000309,WO-000503,SUP-046,Impeller,1,1484.74,1484.74,GCP-BigQuery
WOM-0000310,WO-000503,SUP-050,Bearing set,5,3614.55,18072.75,GCP-BigQuery
WOM-0000311,WO-000508,SUP-053,Coupling,11,866.61,9532.71,GCP-BigQuery
WOM-0000312,WO-000509,SUP-074,Bearing set,12,3550.09,42601.08,GCP-BigQuery
WOM-0000313,WO-000509,SUP-136,Impeller,18,2036.9,36664.2,GCP-BigQuery
WOM-0000314,WO-000511,SUP-048,Valve actuator,6,1764.77,10588.62,GCP-BigQuery
WOM-0000315,WO-000512,SUP-143,Control card,11,3766.85,41435.35,GCP-BigQuery
WOM-0000316,WO-000514,SUP-089,Control card,10,1275.05,12750.5,GCP-BigQuery
WOM-0000317,WO-000516,SUP-030,Gasket kit,15,2015.36,30230.4,GCP-BigQuery
WOM-0000318,WO-000516,SUP-114,Lubricant drum,3,2794.61,8383.83,GCP-BigQuery
WOM-0000319,WO-000518,SUP-099,Control card,13,2026.2,26340.6,GCP-BigQuery
WOM-0000320,WO-000518,SUP-107,Gasket kit,13,1845.79,23995.27,GCP-BigQuery
WOM-0000321,WO-000518,SUP-149,Relay module,8,3032.52,24260.16,GCP-BigQuery
WOM-0000322,WO-000520,SUP-107,Pressure transmitter,16,554.29,8868.64,GCP-BigQuery
WOM-0000323,WO-000520,SUP-033,Gasket kit,7,545.62,3819.34,GCP-BigQuery
WOM-0000324,WO-000524,SUP-064,Pressure transmitter,15,974.01,14610.15,GCP-BigQuery
WOM-0000325,WO-000526,SUP-053,Impeller,14,1946.78,27254.92,GCP-BigQuery
WOM-0000326,WO-000529,SUP-112,Relay module,8,1254.81,10038.48,GCP-BigQuery
WOM-0000327,WO-000529,SUP-034,Coupling,4,3480.71,13922.84,GCP-BigQuery
WOM-0000328,WO-000530,SUP-068,Bearing set,19,461.74,8773.06,GCP-BigQuery
WOM-0000329,WO-000531,SUP-115,Valve actuator,6,3068.32,18409.92,GCP-BigQuery
WOM-0000330,WO-000534,SUP-015,Seal assembly,16,3014.08,48225.28,GCP-BigQuery
WOM-0000331,WO-000538,SUP-039,Relay module,7,3768.26,26377.82,GCP-BigQuery
WOM-0000332,WO-000538,SUP-093,Control card,3,272.76,818.28,GCP-BigQuery
WOM-0000333,WO-000538,SUP-115,Pressure transmitter,15,2923.28,43849.2,GCP-BigQuery
WOM-0000334,WO-000541,SUP-042,Impeller,19,1604.02,30476.38,GCP-BigQuery
WOM-0000335,WO-000541,SUP-029,Impeller,15,919.7,13795.5,GCP-BigQuery
WOM-0000336,WO-000541,SUP-077,Lubricant drum,16,3294.63,52714.08,GCP-BigQuery
WOM-0000337,WO-000542,SUP-112,Motor winding kit,1,1547.6,1547.6,GCP-BigQuery
WOM-0000338,WO-000542,SUP-044,Valve actuator,16,3464.8,55436.8,GCP-BigQuery
WOM-0000339,WO-000542,SUP-033,Lubricant drum,17,4075.68,69286.56,GCP-BigQuery
WOM-0000340,WO-000544,SUP-148,Filter element,10,2124.17,21241.7,GCP-BigQuery
WOM-0000341,WO-000544,SUP-115,Bearing set,8,1947.6,15580.8,GCP-BigQuery
WOM-0000342,WO-000544,SUP-083,Filter element,10,2806.52,28065.2,GCP-BigQuery
WOM-0000343,WO-000547,SUP-109,Gasket kit,4,3338.24,13352.96,GCP-BigQuery
WOM-0000344,WO-000561,SUP-127,Impeller,7,743.53,5204.71,GCP-BigQuery
WOM-0000345,WO-000561,SUP-080,Filter element,3,3069.42,9208.26,GCP-BigQuery
WOM-0000346,WO-000561,SUP-120,Relay module,18,1204.71,21684.78,GCP-BigQuery
WOM-0000347,WO-000564,SUP-018,Coupling,12,1188.78,14265.36,GCP-BigQuery
WOM-0000348,WO-000565,SUP-115,Control card,15,529.1,7936.5,GCP-BigQuery
WOM-0000349,WO-000566,SUP-081,Gasket kit,5,2046.73,10233.65,GCP-BigQuery
WOM-0000350,WO-000566,SUP-070,Gasket kit,13,3581.31,46557.03,GCP-BigQuery
WOM-0000351,WO-000573,SUP-141,Seal assembly,10,2160.37,21603.7,GCP-BigQuery
WOM-0000352,WO-000573,SUP-014,Bearing set,16,337.75,5404.0,GCP-BigQuery
WOM-0000353,WO-000573,SUP-104,Gasket kit,1,2419.75,2419.75,GCP-BigQuery
WOM-0000354,WO-000579,SUP-097,Relay module,4,1735.13,6940.52,GCP-BigQuery
WOM-0000355,WO-000580,SUP-076,Filter element,3,4135.99,12407.97,GCP-BigQuery
WOM-0000356,WO-000580,SUP-052,Lubricant drum,17,3755.87,63849.79,GCP-BigQuery
WOM-0000357,WO-000581,SUP-047,Relay module,10,2040.0,20400.0,GCP-BigQuery
WOM-0000358,WO-000581,SUP-085,Seal assembly,5,2021.64,10108.2,GCP-BigQuery
WOM-0000359,WO-000581,SUP-094,Filter element,6,3197.54,19185.24,GCP-BigQuery
WOM-0000360,WO-000583,SUP-032,Pressure transmitter,14,2244.81,31427.34,GCP-BigQuery
WOM-0000361,WO-000583,SUP-028,Pressure transmitter,5,84.97,424.85,GCP-BigQuery
WOM-0000362,WO-000583,SUP-054,Impeller,1,300.97,300.97,GCP-BigQuery
WOM-0000363,WO-000586,SUP-024,Relay module,2,2172.18,4344.36,GCP-BigQuery
WOM-0000364,WO-000586,SUP-094,Coupling,18,251.47,4526.46,GCP-BigQuery
WOM-0000365,WO-000590,SUP-044,Bearing set,18,1370.48,24668.64,GCP-BigQuery
WOM-0000366,WO-000592,SUP-050,Pressure transmitter,9,191.92,1727.28,GCP-BigQuery
WOM-0000367,WO-000601,SUP-119,Bearing set,16,4121.54,65944.64,GCP-BigQuery
WOM-0000368,WO-000620,SUP-059,Control card,17,2980.62,50670.54,GCP-BigQuery
WOM-0000369,WO-000620,SUP-034,Lubricant drum,17,2164.87,36802.79,GCP-BigQuery
WOM-0000370,WO-000620,SUP-149,Seal assembly,8,1400.53,11204.24,GCP-BigQuery
WOM-0000371,WO-000629,SUP-105,Gasket kit,5,559.98,2799.9,GCP-BigQuery
WOM-0000372,WO-000629,SUP-094,Seal assembly,17,479.31,8148.27,GCP-BigQuery
WOM-0000373,WO-000629,SUP-042,Bearing set,19,1190.39,22617.41,GCP-BigQuery
WOM-0000374,WO-000642,SUP-092,Coupling,7,520.24,3641.68,GCP-BigQuery
WOM-0000375,WO-000643,SUP-111,Relay module,16,2657.83,42525.28,GCP-BigQuery
WOM-0000376,WO-000646,SUP-032,Filter element,15,2933.05,43995.75,GCP-BigQuery
WOM-0000377,WO-000650,SUP-088,Motor winding kit,13,52.99,688.87,GCP-BigQuery
WOM-0000378,WO-000650,SUP-040,Seal assembly,13,2287.11,29732.43,GCP-BigQuery
WOM-0000379,WO-000652,SUP-003,Control card,14,685.46,9596.44,GCP-BigQuery
WOM-0000380,WO-000653,SUP-084,Gasket kit,16,1696.14,27138.24,GCP-BigQuery
WOM-0000381,WO-000656,SUP-063,Impeller,5,1824.3,9121.5,GCP-BigQuery
WOM-0000382,WO-000656,SUP-017,Motor winding kit,7,2094.09,14658.63,GCP-BigQuery
WOM-0000383,WO-000656,SUP-097,Coupling,2,1515.89,3031.78,GCP-BigQuery
WOM-0000384,WO-000659,SUP-126,Pressure transmitter,16,4051.25,64820.0,GCP-BigQuery
WOM-0000385,WO-000659,SUP-044,Pressure transmitter,6,3301.07,19806.42,GCP-BigQuery
WOM-0000386,WO-000659,SUP-074,Motor winding kit,14,391.35,5478.9,GCP-BigQuery
WOM-0000387,WO-000660,SUP-032,Control card,10,2641.26,26412.6,GCP-BigQuery
WOM-0000388,WO-000660,SUP-112,Impeller,9,390.61,3515.49,GCP-BigQuery
WOM-0000389,WO-000660,SUP-037,Gasket kit,6,2158.28,12949.68,GCP-BigQuery
WOM-0000390,WO-000665,SUP-111,Seal assembly,9,2731.61,24584.49,GCP-BigQuery
WOM-0000391,WO-000665,SUP-036,Impeller,10,2230.78,22307.8,GCP-BigQuery
WOM-0000392,WO-000665,SUP-137,Control card,2,492.53,985.06,GCP-BigQuery
WOM-0000393,WO-000668,SUP-138,Pressure transmitter,5,3434.15,17170.75,GCP-BigQuery
WOM-0000394,WO-000668,SUP-146,Lubricant drum,8,3724.93,29799.44,GCP-BigQuery
WOM-0000395,WO-000670,SUP-098,Coupling,12,1510.89,18130.68,GCP-BigQuery
WOM-0000396,WO-000671,SUP-010,Control card,16,4009.25,64148.0,GCP-BigQuery
WOM-0000397,WO-000671,SUP-077,Motor winding kit,9,3049.51,27445.59,GCP-BigQuery
WOM-0000398,WO-000671,SUP-113,Valve actuator,4,3347.91,13391.64,GCP-BigQuery
WOM-0000399,WO-000676,SUP-089,Seal assembly,17,1806.48,30710.16,GCP-BigQuery
WOM-0000400,WO-000676,SUP-030,Bearing set,12,3304.49,39653.88,GCP-BigQuery
WOM-0000401,WO-000676,SUP-068,Bearing set,18,1604.19,28875.42,GCP-BigQuery
WOM-0000402,WO-000679,SUP-135,Filter element,13,1572.89,20447.57,GCP-BigQuery
WOM-0000403,WO-000679,SUP-051,Filter element,7,1968.62,13780.34,GCP-BigQuery
WOM-0000404,WO-000679,SUP-057,Gasket kit,13,2284.26,29695.38,GCP-BigQuery
WOM-0000405,WO-000680,SUP-145,Gasket kit,9,2303.45,20731.05,GCP-BigQuery
WOM-0000406,WO-000680,SUP-024,Impeller,10,2238.77,22387.7,GCP-BigQuery
WOM-0000407,WO-000680,SUP-022,Lubricant drum,6,2651.21,15907.26,GCP-BigQuery
WOM-0000408,WO-000681,SUP-043,Gasket kit,13,1669.56,21704.28,GCP-BigQuery
WOM-0000409,WO-000686,SUP-072,Relay module,18,832.45,14984.1,GCP-BigQuery
WOM-0000410,WO-000686,SUP-123,Coupling,13,458.85,5965.05,GCP-BigQuery
WOM-0000411,WO-000690,SUP-075,Coupling,2,1654.35,3308.7,GCP-BigQuery
WOM-0000412,WO-000690,SUP-050,Impeller,18,2950.93,53116.74,GCP-BigQuery
WOM-0000413,WO-000711,SUP-112,Bearing set,17,2585.99,43961.83,GCP-BigQuery
WOM-0000414,WO-000711,SUP-088,Seal assembly,18,454.34,8178.12,GCP-BigQuery
WOM-0000415,WO-000712,SUP-084,Valve actuator,8,850.9,6807.2,GCP-BigQuery
WOM-0000416,WO-000712,SUP-116,Motor winding kit,10,1455.07,14550.7,GCP-BigQuery
WOM-0000417,WO-000712,SUP-091,Valve actuator,9,2109.61,18986.49,GCP-BigQuery
WOM-0000418,WO-000716,SUP-070,Motor winding kit,18,3579.04,64422.72,GCP-BigQuery
WOM-0000419,WO-000720,SUP-006,Gasket kit,11,3888.28,42771.08,GCP-BigQuery
WOM-0000420,WO-000720,SUP-115,Motor winding kit,19,555.31,10550.89,GCP-BigQuery
WOM-0000421,WO-000720,SUP-064,Motor winding kit,18,645.07,11611.26,GCP-BigQuery
WOM-0000422,WO-000723,SUP-074,Seal assembly,7,3764.86,26354.02,GCP-BigQuery
WOM-0000423,WO-000723,SUP-092,Valve actuator,13,1839.46,23912.98,GCP-BigQuery
WOM-0000424,WO-000723,SUP-006,Gasket kit,15,2578.08,38671.2,GCP-BigQuery
WOM-0000425,WO-000726,SUP-024,Filter element,1,2187.61,2187.61,GCP-BigQuery
WOM-0000426,WO-000726,SUP-002,Bearing set,11,1458.5,16043.5,GCP-BigQuery
WOM-0000427,WO-000726,SUP-112,Lubricant drum,14,1039.21,14548.94,GCP-BigQuery
WOM-0000428,WO-000732,SUP-065,Pressure transmitter,1,2489.46,2489.46,GCP-BigQuery
WOM-0000429,WO-000732,SUP-086,Valve actuator,14,2414.12,33797.68,GCP-BigQuery
WOM-0000430,WO-000735,SUP-144,Filter element,9,2074.78,18673.02,GCP-BigQuery
WOM-0000431,WO-000736,SUP-134,Gasket kit,4,3051.2,12204.8,GCP-BigQuery
WOM-0000432,WO-000736,SUP-137,Coupling,18,2633.73,47407.14,GCP-BigQuery
WOM-0000433,WO-000736,SUP-031,Lubricant drum,1,2776.32,2776.32,GCP-BigQuery
WOM-0000434,WO-000742,SUP-005,Relay module,18,2737.95,49283.1,GCP-BigQuery
WOM-0000435,WO-000742,SUP-025,Filter element,10,3799.95,37999.5,GCP-BigQuery
WOM-0000436,WO-000743,SUP-150,Lubricant drum,15,2892.74,43391.1,GCP-BigQuery
WOM-0000437,WO-000743,SUP-051,Valve actuator,18,48.32,869.76,GCP-BigQuery
WOM-0000438,WO-000745,SUP-067,Control card,15,2744.8,41172.0,GCP-BigQuery
WOM-0000439,WO-000751,SUP-090,Relay module,3,3465.36,10396.08,GCP-BigQuery
WOM-0000440,WO-000751,SUP-073,Gasket kit,10,2143.57,21435.7,GCP-BigQuery
WOM-0000441,WO-000754,SUP-131,Gasket kit,8,1297.85,10382.8,GCP-BigQuery
WOM-0000442,WO-000754,SUP-071,Coupling,8,1277.15,10217.2,GCP-BigQuery
WOM-0000443,WO-000759,SUP-117,Gasket kit,5,459.65,2298.25,GCP-BigQuery
WOM-0000444,WO-000759,SUP-062,Coupling,8,3264.28,26114.24,GCP-BigQuery
WOM-0000445,WO-000759,SUP-009,Coupling,11,247.43,2721.73,GCP-BigQuery
WOM-0000446,WO-000762,SUP-077,Bearing set,5,3214.44,16072.2,GCP-BigQuery
WOM-0000447,WO-000769,SUP-146,Filter element,3,3668.74,11006.22,GCP-BigQuery
WOM-0000448,WO-000769,SUP-059,Filter element,6,2418.5,14511.0,GCP-BigQuery
WOM-0000449,WO-000771,SUP-142,Seal assembly,13,2846.13,36999.69,GCP-BigQuery
WOM-0000450,WO-000774,SUP-009,Seal assembly,11,2822.44,31046.84,GCP-BigQuery
WOM-0000451,WO-000774,SUP-003,Coupling,2,1307.68,2615.36,GCP-BigQuery
WOM-0000452,WO-000780,SUP-046,Control card,1,2604.96,2604.96,GCP-BigQuery
WOM-0000453,WO-000780,SUP-080,Coupling,10,1115.28,11152.8,GCP-BigQuery
WOM-0000454,WO-000780,SUP-149,Gasket kit,14,3764.55,52703.7,GCP-BigQuery
WOM-0000455,WO-000785,SUP-101,Seal assembly,7,1517.0,10619.0,GCP-BigQuery
WOM-0000456,WO-000785,SUP-012,Lubricant drum,11,3233.43,35567.73,GCP-BigQuery
WOM-0000457,WO-000785,SUP-021,Impeller,16,4186.78,66988.48,GCP-BigQuery
WOM-0000458,WO-000786,SUP-015,Valve actuator,3,69.67,209.01,GCP-BigQuery
WOM-0000459,WO-000790,SUP-149,Relay module,4,1857.63,7430.52,GCP-BigQuery
WOM-0000460,WO-000795,SUP-083,Lubricant drum,14,1956.05,27384.7,GCP-BigQuery
WOM-0000461,WO-000795,SUP-067,Relay module,9,3233.07,29097.63,GCP-BigQuery
WOM-0000462,WO-000796,SUP-041,Valve actuator,2,605.86,1211.72,GCP-BigQuery
WOM-0000463,WO-000796,SUP-018,Gasket kit,1,497.85,497.85,GCP-BigQuery
WOM-0000464,WO-000796,SUP-104,Lubricant drum,11,3439.8,37837.8,GCP-BigQuery
WOM-0000465,WO-000809,SUP-022,Pressure transmitter,18,665.02,11970.36,GCP-BigQuery
WOM-0000466,WO-000809,SUP-041,Lubricant drum,18,452.3,8141.4,GCP-BigQuery
WOM-0000467,WO-000809,SUP-080,Valve actuator,3,2586.16,7758.48,GCP-BigQuery
WOM-0000468,WO-000811,SUP-128,Filter element,16,378.33,6053.28,GCP-BigQuery
WOM-0000469,WO-000811,SUP-082,Seal assembly,17,2488.26,42300.42,GCP-BigQuery
