task_id,wo_id,task_seq,discipline,description,task_status,planned_hours,actual_hours,origin_system
WOT-0000506,WO-000197,1,I&C,Though page smile point particularly,Completed,30.79,45.42,GCP-BigQuery
WOT-0000507,WO-000198,1,Structural,Official need discover in,Completed,33.19,,GCP-BigQuery
WOT-0000508,WO-000199,1,Electrical,Majority yet option student evidence role save,Open,30.47,,GCP-BigQuery
WOT-0000509,WO-000199,2,Piping,Easy its develop until watch,Open,20.2,,GCP-BigQuery
WOT-0000510,WO-000199,3,Mechanical,Together individual analysis yard safe mean international,Completed,2.13,,GCP-BigQuery
WOT-0000511,WO-000200,1,Structural,Look something start laugh drive next,Completed,21.52,19.44,GCP-BigQuery
WOT-0000512,WO-000200,2,I&C,Really image design,Completed,28.33,38.04,GCP-BigQuery
WOT-0000513,WO-000200,3,I&C,Fast positive before look fight reflect,Completed,39.98,39.15,GCP-BigQuery
WOT-0000514,WO-000200,4,Structural,Section agency lawyer sign them if smile,Completed,11.29,8.74,GCP-BigQuery
WOT-0000515,WO-000201,1,I&C,Phone region ability physical his real,Open,16.97,,GCP-BigQuery
WOT-0000516,WO-000201,2,Structural,Allow international especially watch my some skin,Open,6.35,,GCP-BigQuery
WOT-0000517,WO-000202,1,Mechanical,Per friend usually method,Completed,29.82,23.39,GCP-BigQuery
WOT-0000518,WO-000202,2,Mechanical,Thousand book half people half compare,Completed,34.91,27.47,GCP-BigQuery
WOT-0000519,WO-000203,1,I&C,Relate night similar catch friend much power,Completed,2.38,,GCP-BigQuery
WOT-0000520,WO-000204,1,Electrical,That reflect send set fly today me institution,Open,21.36,,GCP-BigQuery
WOT-0000521,WO-000204,2,Mechanical,As generation main,Completed,39.44,,GCP-BigQuery
WOT-0000522,WO-000205,1,Mechanical,Stop like mother stay tonight later happy,Completed,17.65,15.82,GCP-BigQuery
WOT-0000523,WO-000206,1,I&C,Could this beautiful hospital,Completed,12.14,11.16,GCP-BigQuery
WOT-0000524,WO-000206,2,Structural,Eye what body every,Completed,2.11,2.2,GCP-BigQuery
WOT-0000525,WO-000206,3,Electrical,Many themselves minute physical,Completed,2.48,3.0,GCP-BigQuery
WOT-0000526,WO-000206,4,Structural,Indicate radio use listen information,Completed,24.15,20.8,GCP-BigQuery
WOT-0000527,WO-000207,1,Piping,Factor as the,In Progress,27.74,,GCP-BigQuery
WOT-0000528,WO-000207,2,Mechanical,Strong mind from official pretty,In Progress,35.47,,GCP-BigQuery
WOT-0000529,WO-000208,1,I&C,Main program morning nature leader note,Open,32.11,,GCP-BigQuery
WOT-0000530,WO-000208,2,Structural,Commercial employee machine wife show,Completed,6.64,,GCP-BigQuery
WOT-0000531,WO-000208,3,Mechanical,Chance expect what,In Progress,32.17,,GCP-BigQuery
WOT-0000532,WO-000209,1,Mechanical,Under Republican expect win stuff realize project child,Completed,33.09,28.62,GCP-BigQuery
WOT-0000533,WO-000209,2,Piping,Bring year off kid hard,Completed,14.88,11.61,GCP-BigQuery
WOT-0000534,WO-000209,3,Piping,None alone first gas health,Completed,4.74,3.41,GCP-BigQuery
WOT-0000535,WO-000210,1,Structural,Wish move building agent use shoulder way,Completed,13.83,16.99,GCP-BigQuery
WOT-0000536,WO-000210,2,Piping,Choose wife national medical positive far,Completed,39.59,44.34,GCP-BigQuery
WOT-0000537,WO-000210,3,Piping,Wide senior yes project son,Completed,21.79,21.83,GCP-BigQuery
WOT-0000538,WO-000210,4,Piping,Full both look always question bring,Completed,24.79,32.98,GCP-BigQuery
WOT-0000539,WO-000211,1,I&C,Husband subject land,Completed,18.12,25.49,GCP-BigQuery
WOT-0000540,WO-000211,2,Electrical,For part crime money,Completed,7.16,9.88,GCP-BigQuery
WOT-0000541,WO-000211,3,Piping,Cultural base support quality whatever,Completed,11.69,15.73,GCP-BigQuery
WOT-0000542,WO-000211,4,Piping,Hour make owner memory argue project huge,Completed,20.13,17.18,GCP-BigQuery
WOT-0000543,WO-000212,1,Structural,Hard health expect goal within them,Open,15.97,,GCP-BigQuery
WOT-0000544,WO-000212,2,Electrical,Democratic thousand score indeed,In Progress,21.38,,GCP-BigQuery
WOT-0000545,WO-000212,3,I&C,Eye south wife interest to cause,Open,27.96,,GCP-BigQuery
WOT-0000546,WO-000212,4,Mechanical,Our century field write moment friend value opportunity,Completed,18.56,,GCP-BigQuery
WOT-0000547,WO-000213,1,Mechanical,Because important trial increase new report,In Progress,3.37,,GCP-BigQuery
WOT-0000548,WO-000213,2,Mechanical,Current strategy face make,Completed,27.1,,GCP-BigQuery
WOT-0000549,WO-000213,3,Mechanical,Strong fight nice less agree,Completed,24.56,,GCP-BigQuery
WOT-0000550,WO-000213,4,Electrical,Child feel policy,In Progress,10.46,,GCP-BigQuery
WOT-0000551,WO-000214,1,Structural,Buy program explain conference trade population agreement,In Progress,35.67,,GCP-BigQuery
WOT-0000552,WO-000215,1,I&C,Manage wife out gun lose,In Progress,20.07,,GCP-BigQuery
WOT-0000553,WO-000215,2,Mechanical,Than physical live reason build mention,Completed,4.23,,GCP-BigQuery
WOT-0000554,WO-000215,3,Electrical,Adult employee ok certainly leave really group,In Progress,33.09,,GCP-BigQuery
WOT-0000555,WO-000216,1,Electrical,Evening information treatment,In Progress,15.03,,GCP-BigQuery
WOT-0000556,WO-000217,1,I&C,Any factor police baby create physical,In Progress,29.43,,GCP-BigQuery
WOT-0000557,WO-000218,1,Electrical,Out cold follow first,Completed,25.67,38.08,GCP-BigQuery
WOT-0000558,WO-000218,2,Electrical,Even recently guy move goal,Completed,6.65,7.29,GCP-BigQuery
WOT-0000559,WO-000218,3,I&C,Actually million health machine,Completed,8.34,9.38,GCP-BigQuery
WOT-0000560,WO-000218,4,I&C,Tv clear design me story somebody,Completed,25.03,20.62,GCP-BigQuery
WOT-0000561,WO-000219,1,Structural,Party story moment mother necessary series box,Open,34.54,,GCP-BigQuery
WOT-0000562,WO-000220,1,Piping,Trouble bring capital admit give reality catch,Completed,25.82,35.4,GCP-BigQuery
WOT-0000563,WO-000221,1,Piping,Threat our shake garden report agreement,Completed,33.94,40.74,GCP-BigQuery
WOT-0000564,WO-000221,2,Structural,Develop task central dinner,Completed,19.08,19.14,GCP-BigQuery
WOT-0000565,WO-000221,3,Electrical,Decide wonder interesting several,Completed,17.9,14.38,GCP-BigQuery
WOT-0000566,WO-000222,1,I&C,Back simple serious amount,Open,16.8,,GCP-BigQuery
WOT-0000567,WO-000222,2,Mechanical,Allow process or light,Open,12.45,,GCP-BigQuery
WOT-0000568,WO-000223,1,Piping,Analysis feeling act benefit buy,Completed,23.96,,GCP-BigQuery
WOT-0000569,WO-000223,2,Piping,Day top continue goal before suffer walk we,Completed,22.62,,GCP-BigQuery
WOT-0000570,WO-000223,3,I&C,Goal talk sit party measure attention,Open,32.25,,GCP-BigQuery
WOT-0000571,WO-000223,4,Mechanical,Shake more respond who commercial senior above rise,Open,39.13,,GCP-BigQuery
WOT-0000572,WO-000224,1,I&C,Turn surface listen recently continue,In Progress,32.12,,GCP-BigQuery
WOT-0000573,WO-000224,2,Electrical,Congress great here Democrat,Open,24.75,,GCP-BigQuery
WOT-0000574,WO-000224,3,Electrical,Imagine seven fire letter mind,Completed,4.3,,GCP-BigQuery
WOT-0000575,WO-000224,4,Mechanical,Several relate news American foreign break exist,In Progress,5.6,,GCP-BigQuery
WOT-0000576,WO-000225,1,Mechanical,Save reach subject difficult imagine world into task,Completed,25.21,26.84,GCP-BigQuery
WOT-0000577,WO-000226,1,Mechanical,Voice happen actually purpose public how mission,Completed,28.29,25.94,GCP-BigQuery
WOT-0000578,WO-000226,2,Mechanical,Budget house reason within,Completed,31.54,45.04,GCP-BigQuery
WOT-0000579,WO-000226,3,Structural,Ask window full organization,Completed,18.66,24.98,GCP-BigQuery
WOT-0000580,WO-000227,1,Electrical,But study rise everything require old,Completed,35.64,31.88,GCP-BigQuery
WOT-0000581,WO-000228,1,Electrical,Series song wall green project,Completed,3.67,5.24,GCP-BigQuery
WOT-0000582,WO-000228,2,I&C,Would memory challenge lawyer business majority,Completed,27.76,26.48,GCP-BigQuery
WOT-0000583,WO-000229,1,Piping,Pick care between apply attention,Completed,33.62,36.33,GCP-BigQuery
WOT-0000584,WO-000229,2,Electrical,Will him quickly,Completed,33.15,32.45,GCP-BigQuery
WOT-0000585,WO-000229,3,Electrical,Few perhaps set produce,Completed,24.15,25.89,GCP-BigQuery
WOT-0000586,WO-000229,4,Mechanical,Should society dark product make energy gas,Completed,39.13,39.45,GCP-BigQuery
WOT-0000587,WO-000230,1,Mechanical,National weight all involve trip himself fire,Completed,17.01,16.73,GCP-BigQuery
WOT-0000588,WO-000230,2,I&C,Kind along computer process single those,Completed,29.47,29.6,GCP-BigQuery
WOT-0000589,WO-000230,3,I&C,Man care resource maintain,Completed,16.6,12.43,GCP-BigQuery
WOT-0000590,WO-000231,1,Mechanical,Notice make network much,Completed,26.9,28.58,GCP-BigQuery
WOT-0000591,WO-000231,2,I&C,Live take media hot manager wife pay,Completed,29.33,38.32,GCP-BigQuery
WOT-0000592,WO-000231,3,Electrical,Short expect article opportunity campaign hand,Completed,34.16,32.85,GCP-BigQuery
WOT-0000593,WO-000232,1,Piping,Agree through game best generation group goal product,In Progress,29.14,,GCP-BigQuery
WOT-0000594,WO-000232,2,Mechanical,Doctor fine be read than,In Progress,26.01,,GCP-BigQuery
WOT-0000595,WO-000233,1,Piping,Front after for leave,Completed,9.22,10.55,GCP-BigQuery
WOT-0000596,WO-000233,2,I&C,Nothing top entire receive onto worry,Completed,8.01,9.86,GCP-BigQuery
WOT-0000597,WO-000233,3,I&C,Now follow best major real day,Completed,20.74,20.81,GCP-BigQuery
WOT-0000598,WO-000234,1,Structural,Me share fund pass guy job market,Completed,31.37,35.16,GCP-BigQuery
WOT-0000599,WO-000235,1,Structural,Subject movie explain answer,Completed,18.13,,GCP-BigQuery
WOT-0000600,WO-000236,1,Piping,I difficult sea begin such behind front,Completed,8.38,8.13,GCP-BigQuery
WOT-0000601,WO-000236,2,Electrical,Note most interview girl,Completed,6.02,6.63,GCP-BigQuery
WOT-0000602,WO-000236,3,Piping,Prepare few sound item,Completed,9.31,7.93,GCP-BigQuery
WOT-0000603,WO-000236,4,Piping,Finish increase economy middle public natural thing,Completed,6.69,9.87,GCP-BigQuery
WOT-0000604,WO-000237,1,Piping,Reflect television officer defense while score level view,Open,37.59,,GCP-BigQuery
WOT-0000605,WO-000237,2,I&C,Speak table trade various risk art customer,Completed,3.27,,GCP-BigQuery
WOT-0000606,WO-000238,1,Piping,Challenge character rate feel itself five store,Open,23.22,,GCP-BigQuery
WOT-0000607,WO-000238,2,Piping,Plant suffer environment expert,In Progress,34.73,,GCP-BigQuery
WOT-0000608,WO-000238,3,Piping,Either over image box,In Progress,30.3,,GCP-BigQuery
WOT-0000609,WO-000239,1,Piping,Agree someone financial magazine yard,Completed,11.78,17.43,GCP-BigQuery
WOT-0000610,WO-000239,2,Structural,Positive already city carry election sound,Completed,17.23,12.83,GCP-BigQuery
WOT-0000611,WO-000239,3,Mechanical,Compare system white magazine after teacher base,Completed,26.17,38.91,GCP-BigQuery
WOT-0000612,WO-000240,1,Structural,Fear as western to public though however style,In Progress,28.68,,GCP-BigQuery
WOT-0000613,WO-000240,2,Structural,Door number matter building,Open,29.47,,GCP-BigQuery
WOT-0000614,WO-000240,3,Electrical,Wear use edge this draw business southern forget,Completed,24.85,,GCP-BigQuery
WOT-0000615,WO-000240,4,Mechanical,Say south season very design blood degree ever,Open,10.42,,GCP-BigQuery
WOT-0000616,WO-000241,1,Electrical,Effect operation make hear we first,Completed,9.67,,GCP-BigQuery
WOT-0000617,WO-000241,2,Structural,Little east everyone six certain little,In Progress,39.83,,GCP-BigQuery
WOT-0000618,WO-000242,1,Piping,Start again whom paper success production,Open,17.5,,GCP-BigQuery
WOT-0000619,WO-000242,2,Mechanical,Real small dream,Completed,14.8,,GCP-BigQuery
WOT-0000620,WO-000242,3,Electrical,His police red total rate movement door,In Progress,14.47,,GCP-BigQuery
WOT-0000621,WO-000243,1,Electrical,Home travel hotel within eight bed,Open,6.27,,GCP-BigQuery
WOT-0000622,WO-000244,1,Structural,Father teacher civil keep first,Open,5.24,,GCP-BigQuery
WOT-0000623,WO-000244,2,Electrical,Smile ever bag single man say,Open,22.08,,GCP-BigQuery
WOT-0000624,WO-000244,3,Electrical,Response theory star station recognize media,Completed,21.67,,GCP-BigQuery
WOT-0000625,WO-000244,4,Mechanical,Inside role natural force receive seven,Completed,26.65,,GCP-BigQuery
WOT-0000626,WO-000245,1,Electrical,Picture social carry husband,In Progress,27.88,,GCP-BigQuery
WOT-0000627,WO-000245,2,Mechanical,Figure office book economic require should power candidate,In Progress,18.64,,GCP-BigQuery
WOT-0000628,WO-000245,3,I&C,Rate society floor long same end reach step,In Progress,10.6,,GCP-BigQuery
WOT-0000629,WO-000246,1,Mechanical,Cup increase consider then war,Completed,14.47,17.98,GCP-BigQuery
WOT-0000630,WO-000246,2,Structural,Difference way type positive phone trade wind,Completed,6.13,7.49,GCP-BigQuery
WOT-0000631,WO-000246,3,Mechanical,Energy system anyone peace outside,Completed,17.12,22.96,GCP-BigQuery
WOT-0000632,WO-000246,4,Piping,Become happy water bring,Completed,37.62,39.14,GCP-BigQuery
WOT-0000633,WO-000247,1,Piping,Itself turn law purpose budget require course,In Progress,12.04,,GCP-BigQuery
WOT-0000634,WO-000247,2,Electrical,Explain management candidate task outside,In Progress,25.87,,GCP-BigQuery
WOT-0000635,WO-000247,3,Structural,Risk country Congress society agreement,Open,14.23,,GCP-BigQuery
WOT-0000636,WO-000247,4,Electrical,Dog late eat old positive,Open,9.98,,GCP-BigQuery
WOT-0000637,WO-000248,1,Mechanical,Action card follow realize,In Progress,37.2,,GCP-BigQuery
WOT-0000638,WO-000249,1,I&C,Require remain save eight believe,Completed,24.87,,GCP-BigQuery
WOT-0000639,WO-000250,1,Electrical,Appear use likely great,Completed,22.03,,GCP-BigQuery
WOT-0000640,WO-000250,2,Piping,Vote whose our security animal effect people few,Open,14.05,,GCP-BigQuery
WOT-0000641,WO-000251,1,Electrical,Provide car throughout American conference college,Completed,33.05,44.51,GCP-BigQuery
WOT-0000642,WO-000251,2,Piping,Us there car fish most center bring,Completed,39.52,39.37,GCP-BigQuery
WOT-0000643,WO-000252,1,Piping,Without material wind,In Progress,24.91,,GCP-BigQuery
WOT-0000644,WO-000252,2,Piping,Security unit executive theory party,Open,30.12,,GCP-BigQuery
WOT-0000645,WO-000253,1,Structural,Might job close say man,In Progress,35.66,,GCP-BigQuery
WOT-0000646,WO-000253,2,Mechanical,New type PM key,Open,26.83,,GCP-BigQuery
WOT-0000647,WO-000253,3,Piping,Chance discover along employee relationship,Completed,24.59,,GCP-BigQuery
WOT-0000648,WO-000254,1,Piping,Break time manager kid writer night,Completed,17.96,19.89,GCP-BigQuery
WOT-0000649,WO-000255,1,Electrical,Manage suffer term buy behavior test Congress,Completed,8.42,7.65,GCP-BigQuery
WOT-0000650,WO-000255,2,Mechanical,Seek state none production,Completed,36.66,54.25,GCP-BigQuery
WOT-0000651,WO-000255,3,Electrical,On will moment number indicate,Completed,11.18,14.29,GCP-BigQuery
WOT-0000652,WO-000256,1,I&C,East marriage behind forget,Completed,28.48,34.61,GCP-BigQuery
WOT-0000653,WO-000256,2,Mechanical,Race quite hour opportunity week,Completed,28.86,33.21,GCP-BigQuery
WOT-0000654,WO-000256,3,Structural,Child ball store process law western,Completed,4.58,4.2,GCP-BigQuery
WOT-0000655,WO-000256,4,Structural,Price forget analysis performance laugh water yourself trade,Completed,28.91,32.93,GCP-BigQuery
WOT-0000656,WO-000257,1,Structural,Can tell soon executive sometimes season natural,Completed,24.67,32.54,GCP-BigQuery
WOT-0000657,WO-000257,2,Electrical,High human concern whole tend become system clear,Completed,29.49,37.5,GCP-BigQuery
WOT-0000658,WO-000258,1,Piping,Expect sell pressure building make it,Completed,35.83,,GCP-BigQuery
WOT-0000659,WO-000258,2,I&C,Tough page grow benefit happen,In Progress,38.75,,GCP-BigQuery
WOT-0000660,WO-000258,3,Mechanical,Majority those live none institution,In Progress,26.01,,GCP-BigQuery
WOT-0000661,WO-000258,4,Piping,Specific pass its international American game,Open,20.13,,GCP-BigQuery
WOT-0000662,WO-000259,1,Mechanical,Put positive require us money positive base,Completed,22.9,32.69,GCP-BigQuery
WOT-0000663,WO-000259,2,Electrical,Join trade local chance campaign total success,Completed,15.56,13.08,GCP-BigQuery
WOT-0000664,WO-000260,1,I&C,Into notice necessary true message member including,Completed,17.05,13.24,GCP-BigQuery
WOT-0000665,WO-000260,2,Electrical,Produce nothing effect effort bank me box,Completed,23.46,19.68,GCP-BigQuery
WOT-0000666,WO-000260,3,I&C,Conference consider hotel bar theory fear onto,Completed,24.71,28.51,GCP-BigQuery
WOT-0000667,WO-000260,4,Structural,Serious last space game truth special decision,Completed,31.4,28.23,GCP-BigQuery
WOT-0000668,WO-000261,1,Electrical,Section page the blood,In Progress,38.15,,GCP-BigQuery
WOT-0000669,WO-000261,2,Piping,Adult house actually pretty least if price,Completed,3.03,,GCP-BigQuery
WOT-0000670,WO-000262,1,Mechanical,Rise field spend pattern real white push source,Open,31.87,,GCP-BigQuery
WOT-0000671,WO-000262,2,Piping,By add born administration,Open,38.81,,GCP-BigQuery
WOT-0000672,WO-000262,3,Structural,Teacher decide possible power job,In Progress,12.43,,GCP-BigQuery
WOT-0000673,WO-000262,4,Piping,Teach Mrs beat show challenge instead bring total,Completed,14.04,,GCP-BigQuery
WOT-0000674,WO-000263,1,Structural,White likely teacher one cut notice,Open,24.71,,GCP-BigQuery
WOT-0000675,WO-000263,2,I&C,Anything account piece require woman support,Open,2.2,,GCP-BigQuery
WOT-0000676,WO-000263,3,Mechanical,Other never fact maintain main opportunity particularly question,Open,6.86,,GCP-BigQuery
WOT-0000677,WO-000264,1,Structural,Discussion art affect office network environmental possible,Completed,21.71,,GCP-BigQuery
WOT-0000678,WO-000264,2,Piping,Bring performance position large job claim risk,Completed,33.86,,GCP-BigQuery
WOT-0000679,WO-000264,3,Piping,Gas discussion detail training fund own successful,Completed,16.87,,GCP-BigQuery
WOT-0000680,WO-000264,4,Structural,Capital fall represent where strategy pull same,In Progress,30.2,,GCP-BigQuery
WOT-0000681,WO-000265,1,I&C,Son suddenly perform executive see project can,In Progress,36.26,,GCP-BigQuery
WOT-0000682,WO-000265,2,Mechanical,Choose man soldier wall management,Completed,22.09,,GCP-BigQuery
WOT-0000683,WO-000265,3,Structural,Decide another adult thing ground,Completed,19.27,,GCP-BigQuery
WOT-0000684,WO-000266,1,Mechanical,Company teacher me southern,In Progress,2.05,,GCP-BigQuery
WOT-0000685,WO-000267,1,Structural,Issue pay building difference election future,Completed,4.8,,GCP-BigQuery
WOT-0000686,WO-000267,2,Electrical,Show show news to table them,Completed,2.21,,GCP-BigQuery
WOT-0000687,WO-000267,3,Structural,Prove relationship unit just lead success book black,Completed,11.25,,GCP-BigQuery
WOT-0000688,WO-000268,1,Electrical,Participant teach big none medical cold brother day,Completed,3.04,2.19,GCP-BigQuery
WOT-0000689,WO-000268,2,I&C,Church factor kid media run between,Completed,23.03,34.17,GCP-BigQuery
WOT-0000690,WO-000268,3,Structural,Free case summer keep indeed shoulder,Completed,14.82,16.09,GCP-BigQuery
WOT-0000691,WO-000269,1,Mechanical,Strong list expert commercial entire,Open,21.84,,GCP-BigQuery
WOT-0000692,WO-000269,2,I&C,Guess professor charge send instead direction,In Progress,11.54,,GCP-BigQuery
WOT-0000693,WO-000269,3,Piping,Including important learn system some gun,Completed,36.19,,GCP-BigQuery
WOT-0000694,WO-000270,1,Electrical,Kind show response,Completed,10.7,8.55,GCP-BigQuery
WOT-0000695,WO-000271,1,I&C,Want be fire word clearly article service,Completed,8.31,6.5,GCP-BigQuery
WOT-0000696,WO-000272,1,Electrical,Total around place require,Completed,30.06,43.33,GCP-BigQuery
WOT-0000697,WO-000272,2,Structural,Win information though red them return finish,Completed,27.09,23.24,GCP-BigQuery
WOT-0000698,WO-000272,3,I&C,Account evidence month turn record land,Completed,5.24,7.7,GCP-BigQuery
WOT-0000699,WO-000273,1,Mechanical,Thought person peace kind generation,In Progress,38.57,,GCP-BigQuery
WOT-0000700,WO-000274,1,Electrical,Simple thing base Mr hope rest,In Progress,21.38,,GCP-BigQuery
WOT-0000701,WO-000274,2,Electrical,Minute must degree memory,Open,39.23,,GCP-BigQuery
WOT-0000702,WO-000275,1,Structural,Miss serious civil agreement someone,Completed,16.03,12.82,GCP-BigQuery
WOT-0000703,WO-000276,1,Electrical,Else strategy fight institution measure rule success employee,Completed,16.55,,GCP-BigQuery
WOT-0000704,WO-000276,2,Structural,Great answer prepare by fear say law,In Progress,7.33,,GCP-BigQuery
WOT-0000705,WO-000277,1,I&C,South writer not thus physical,Completed,8.48,6.02,GCP-BigQuery
WOT-0000706,WO-000277,2,Mechanical,Suddenly doctor federal project spring of cause,Completed,12.39,12.4,GCP-BigQuery
WOT-0000707,WO-000278,1,Structural,Mind easy foreign old state guess,Completed,32.79,,GCP-BigQuery
WOT-0000708,WO-000279,1,Structural,Chair international include begin,Open,18.23,,GCP-BigQuery
WOT-0000709,WO-000279,2,Piping,Thousand live land hard moment open,Completed,27.28,,GCP-BigQuery
WOT-0000710,WO-000279,3,Electrical,Single the once PM you ready way,In Progress,13.54,,GCP-BigQuery
WOT-0000711,WO-000280,1,Electrical,Statement certain camera represent can relate,In Progress,32.27,,GCP-BigQuery
WOT-0000712,WO-000280,2,I&C,Brother defense list second want hard weight,Completed,10.65,,GCP-BigQuery
WOT-0000713,WO-000280,3,Electrical,System book hard face mission brother figure hear,Completed,6.39,,GCP-BigQuery
WOT-0000714,WO-000281,1,Structural,Magazine social central operation any,In Progress,33.88,,GCP-BigQuery
WOT-0000715,WO-000281,2,Piping,Threat democratic standard major business,Completed,9.91,,GCP-BigQuery
WOT-0000716,WO-000281,3,Piping,Attack and loss finally laugh full,Open,30.76,,GCP-BigQuery
WOT-0000717,WO-000281,4,Piping,Little result paper seven measure leave,Open,12.32,,GCP-BigQuery
WOT-0000718,WO-000282,1,Electrical,Project chance road become person perhaps hold,Completed,14.47,16.77,GCP-BigQuery
WOT-0000719,WO-000283,1,I&C,Fund animal provide kitchen everyone because,Completed,33.8,41.95,GCP-BigQuery
WOT-0000720,WO-000283,2,Piping,Religious occur someone religious,Completed,12.01,13.01,GCP-BigQuery
WOT-0000721,WO-000284,1,Electrical,Population popular be western my serious whatever,Completed,10.93,,GCP-BigQuery
WOT-0000722,WO-000284,2,Mechanical,Country live to build view conference affect,Completed,14.9,,GCP-BigQuery
WOT-0000723,WO-000285,1,Structural,Early relationship thought know southern,Open,23.73,,GCP-BigQuery
WOT-0000724,WO-000285,2,Electrical,Fly open man value future Congress agency month,Open,12.28,,GCP-BigQuery
WOT-0000725,WO-000286,1,Piping,Either boy between collection century eight,Completed,23.59,22.88,GCP-BigQuery
WOT-0000726,WO-000286,2,Structural,Child weight question arrive,Completed,7.6,8.87,GCP-BigQuery
WOT-0000727,WO-000286,3,Structural,Consider require fear better central throw,Completed,27.81,31.28,GCP-BigQuery
WOT-0000728,WO-000286,4,I&C,Heart still building dark sell,Completed,32.65,32.85,GCP-BigQuery
WOT-0000729,WO-000287,1,Structural,Door meet mean we especially five network assume,Completed,28.22,34.47,GCP-BigQuery
WOT-0000730,WO-000287,2,Electrical,Imagine do though,Completed,17.17,12.11,GCP-BigQuery
WOT-0000731,WO-000287,3,I&C,Never only big several prepare,Completed,38.31,35.73,GCP-BigQuery
WOT-0000732,WO-000287,4,Structural,Fight image base player,Completed,39.91,38.07,GCP-BigQuery
WOT-0000733,WO-000288,1,I&C,Situation central music collection early,Completed,34.35,32.41,GCP-BigQuery
WOT-0000734,WO-000288,2,I&C,Which new among spend which per,Completed,19.12,15.38,GCP-BigQuery
WOT-0000735,WO-000288,3,Piping,A value lot our,Completed,18.05,17.1,GCP-BigQuery
WOT-0000736,WO-000288,4,I&C,Yourself successful defense subject example claim,Completed,27.72,24.56,GCP-BigQuery
WOT-0000737,WO-000289,1,Structural,None feel house but cause news evidence,Completed,29.03,30.12,GCP-BigQuery
WOT-0000738,WO-000290,1,Electrical,Decision measure soon this war play,Completed,29.09,22.57,GCP-BigQuery
WOT-0000739,WO-000291,1,I&C,Event production focus decision where foreign trial,Completed,34.38,33.39,GCP-BigQuery
WOT-0000740,WO-000291,2,Piping,Position ability live top,Completed,31.02,39.79,GCP-BigQuery
WOT-0000741,WO-000291,3,Electrical,Including time reflect several,Completed,24.83,31.98,GCP-BigQuery
WOT-0000742,WO-000291,4,I&C,Ball theory prepare much throughout staff knowledge,Completed,39.97,46.48,GCP-BigQuery
WOT-0000743,WO-000292,1,Structural,Good spend still group,In Progress,30.28,,GCP-BigQuery
WOT-0000744,WO-000292,2,Structural,Stuff speech worker by,In Progress,38.27,,GCP-BigQuery
WOT-0000745,WO-000292,3,Mechanical,View know develop after exactly TV,Completed,8.29,,GCP-BigQuery
WOT-0000746,WO-000292,4,I&C,Course staff personal space determine woman,Open,19.07,,GCP-BigQuery
WOT-0000747,WO-000293,1,Mechanical,Already manage region paper according worker,Completed,32.33,33.42,GCP-BigQuery
WOT-0000748,WO-000293,2,Structural,Book everyone matter color create school,Completed,29.28,25.11,GCP-BigQuery
WOT-0000749,WO-000293,3,I&C,North assume campaign assume employee now direction mission,Completed,22.31,24.61,GCP-BigQuery
WOT-0000750,WO-000294,1,Mechanical,Court question yeah realize mouth,Completed,22.72,27.71,GCP-BigQuery
WOT-0000751,WO-000295,1,Mechanical,Quite third ability interview pull,Completed,15.62,12.38,GCP-BigQuery
WOT-0000752,WO-000295,2,Mechanical,Take follow such,Completed,38.98,56.04,GCP-BigQuery
WOT-0000753,WO-000295,3,I&C,Ever quite level guess service this,Completed,14.35,15.06,GCP-BigQuery
WOT-0000754,WO-000296,1,Electrical,Another truth mother first hot,Completed,28.22,21.27,GCP-BigQuery
WOT-0000755,WO-000296,2,Electrical,Bank occur agent scene within interest,Completed,17.31,15.72,GCP-BigQuery
WOT-0000756,WO-000297,1,Electrical,True culture forget as,In Progress,8.19,,GCP-BigQuery
WOT-0000757,WO-000297,2,Piping,Benefit lose space or phone free economy blue,In Progress,22.01,,GCP-BigQuery
WOT-0000758,WO-000297,3,Electrical,When strategy start mind door,Open,23.05,,GCP-BigQuery
WOT-0000759,WO-000298,1,Electrical,Simply people shake personal,Completed,32.25,25.94,GCP-BigQuery
WOT-0000760,WO-000298,2,Structural,By window true help three really site artist,Completed,35.59,44.98,GCP-BigQuery
WOT-0000761,WO-000299,1,Piping,Area particularly it big argue appear,In Progress,16.22,,GCP-BigQuery
WOT-0000762,WO-000299,2,Electrical,I pay in ten skin perhaps,In Progress,2.21,,GCP-BigQuery
WOT-0000763,WO-000299,3,Structural,Himself somebody they people fund visit situation,Completed,25.05,,GCP-BigQuery
WOT-0000764,WO-000299,4,I&C,Military onto blue activity require or subject,Open,22.66,,GCP-BigQuery
WOT-0000765,WO-000300,1,Electrical,Call meeting green loss per control case,In Progress,8.6,,GCP-BigQuery
WOT-0000766,WO-000301,1,I&C,Art find job,Completed,31.91,39.15,GCP-BigQuery
WOT-0000767,WO-000301,2,I&C,Find those simply challenge final garden,Completed,24.85,18.76,GCP-BigQuery
WOT-0000768,WO-000301,3,Structural,Wife military price certain down standard,Completed,28.25,35.95,GCP-BigQuery
WOT-0000769,WO-000302,1,Electrical,Teach instead crime customer training size game,Open,9.43,,GCP-BigQuery
WOT-0000770,WO-000302,2,Electrical,Reason word outside former official white pattern,Open,9.53,,GCP-BigQuery
WOT-0000771,WO-000302,3,I&C,Forget bit then treat many turn,In Progress,7.15,,GCP-BigQuery
