labor_id,wo_id,project_id,craft,worker_ref,hours,hourly_rate,labor_cost,post_date,origin_system
WOL-0000222,WO-000119,PRJ-003,Electrician,WKR-7475,4.65,64.4,299.46,2026-01-09,GCP-BigQuery
WOL-0000223,WO-000120,PRJ-007,Welder,WKR-8570,11.31,120.0,1357.2,2025-08-23,GCP-BigQuery
WOL-0000224,WO-000120,PRJ-007,Ironworker,WKR-2263,2.09,124.88,261.0,2025-08-23,GCP-BigQuery
WOL-0000225,WO-000121,PRJ-002,Millwright,WKR-7376,9.88,54.25,535.99,2026-05-13,GCP-BigQuery
WOL-0000226,WO-000121,PRJ-002,Laborer,WKR-6223,10.05,131.23,1318.86,2026-05-13,GCP-BigQuery
WOL-0000227,WO-000121,PRJ-002,Laborer,WKR-7310,7.08,85.01,601.87,2026-05-13,GCP-BigQuery
WOL-0000228,WO-000124,PRJ-002,Carpenter,WKR-8554,8.0,67.77,542.16,2026-07-02,GCP-BigQuery
WOL-0000229,WO-000125,PRJ-005,Ironworker,WKR-1593,8.19,123.22,1009.17,2025-12-14,GCP-BigQuery
WOL-0000230,WO-000126,PRJ-007,Millwright,WKR-5816,11.4,91.65,1044.81,2026-02-17,GCP-BigQuery
WOL-0000231,WO-000126,PRJ-007,Welder,WKR-6254,5.54,83.51,462.65,2026-02-17,GCP-BigQuery
WOL-0000232,WO-000127,PRJ-004,Millwright,WKR-6828,8.61,99.52,856.87,2026-08-01,GCP-BigQuery
WOL-0000233,WO-000128,PRJ-007,Instrument Tech,WKR-5415,2.17,63.18,137.1,2025-10-25,GCP-BigQuery
WOL-0000234,WO-000129,PRJ-010,Welder,WKR-2081,2.98,111.99,333.73,2025-03-14,GCP-BigQuery
WOL-0000235,WO-000131,PRJ-011,Instrument Tech,WKR-4809,3.78,58.29,220.34,2025-06-04,GCP-BigQuery
WOL-0000236,WO-000131,PRJ-011,Electrician,WKR-7811,7.08,104.16,737.45,2025-06-04,GCP-BigQuery
WOL-0000237,WO-000131,PRJ-011,Laborer,WKR-8388,3.29,101.61,334.3,2025-06-04,GCP-BigQuery
WOL-0000238,WO-000131,PRJ-011,Operator,WKR-3824,5.12,54.94,281.29,2025-06-04,GCP-BigQuery
WOL-0000239,WO-000133,PRJ-004,Carpenter,WKR-4389,2.92,125.19,365.55,2025-07-19,GCP-BigQuery
WOL-0000240,WO-000134,PRJ-008,Ironworker,WKR-4351,9.69,80.32,778.3,2026-06-20,GCP-BigQuery
WOL-0000241,WO-000134,PRJ-008,Instrument Tech,WKR-2306,2.77,89.84,248.86,2026-06-20,GCP-BigQuery
WOL-0000242,WO-000135,PRJ-003,Laborer,WKR-7457,4.48,73.52,329.37,2025-05-03,GCP-BigQuery
WOL-0000243,WO-000136,PRJ-004,Instrument Tech,WKR-3815,9.47,53.37,505.41,2026-07-29,GCP-BigQuery
WOL-0000244,WO-000137,PRJ-010,Ironworker,WKR-7661,2.54,119.84,304.39,2025-04-14,GCP-BigQuery
WOL-0000245,WO-000137,PRJ-010,Pipefitter,WKR-7813,7.92,86.18,682.55,2025-04-14,GCP-BigQuery
WOL-0000246,WO-000137,PRJ-010,Electrician,WKR-8132,9.4,59.93,563.34,2025-04-14,GCP-BigQuery
WOL-0000247,WO-000137,PRJ-010,Millwright,WKR-6805,2.79,91.55,255.42,2025-04-14,GCP-BigQuery
WOL-0000248,WO-000139,PRJ-002,Laborer,WKR-8685,6.63,68.61,454.88,2026-02-14,GCP-BigQuery
WOL-0000249,WO-000139,PRJ-002,Boilermaker,WKR-6173,4.5,94.0,423.0,2026-02-14,GCP-BigQuery
WOL-0000250,WO-000139,PRJ-002,Boilermaker,WKR-8037,9.81,68.89,675.81,2026-02-14,GCP-BigQuery
WOL-0000251,WO-000139,PRJ-002,Electrician,WKR-7970,6.74,52.39,353.11,2026-02-14,GCP-BigQuery
WOL-0000252,WO-000140,PRJ-007,Pipefitter,WKR-3424,5.54,90.42,500.93,2026-08-04,GCP-BigQuery
WOL-0000253,WO-000141,PRJ-008,Ironworker,WKR-1524,10.78,95.3,1027.33,2025-09-20,GCP-BigQuery
WOL-0000254,WO-000141,PRJ-008,Welder,WKR-8715,2.62,59.89,156.91,2025-09-20,GCP-BigQuery
WOL-0000255,WO-000141,PRJ-008,Ironworker,WKR-4579,8.84,52.32,462.51,2025-09-20,GCP-BigQuery
WOL-0000256,WO-000142,PRJ-006,Electrician,WKR-9624,5.19,75.82,393.51,2026-06-30,GCP-BigQuery
WOL-0000257,WO-000143,PRJ-011,Welder,WKR-8039,2.63,78.71,207.01,2025-09-11,GCP-BigQuery
WOL-0000258,WO-000144,PRJ-008,Laborer,WKR-3757,3.27,83.45,272.88,2025-06-23,GCP-BigQuery
WOL-0000259,WO-000146,PRJ-008,Pipefitter,WKR-7103,8.04,91.65,736.87,2026-03-31,GCP-BigQuery
WOL-0000260,WO-000146,PRJ-008,Pipefitter,WKR-4158,10.63,72.77,773.55,2026-03-31,GCP-BigQuery
WOL-0000261,WO-000146,PRJ-008,Carpenter,WKR-2164,11.32,85.77,970.92,2026-03-31,GCP-BigQuery
WOL-0000262,WO-000146,PRJ-008,Welder,WKR-8660,10.35,79.43,822.1,2026-03-31,GCP-BigQuery
WOL-0000263,WO-000147,PRJ-012,Ironworker,WKR-8649,7.52,90.58,681.16,2026-04-15,GCP-BigQuery
WOL-0000264,WO-000148,PRJ-006,Operator,WKR-3631,10.76,111.92,1204.26,2026-04-21,GCP-BigQuery
WOL-0000265,WO-000148,PRJ-006,Instrument Tech,WKR-5988,7.0,133.92,937.44,2026-04-21,GCP-BigQuery
WOL-0000266,WO-000148,PRJ-006,Carpenter,WKR-3263,10.49,115.45,1211.07,2026-04-21,GCP-BigQuery
WOL-0000267,WO-000148,PRJ-006,Ironworker,WKR-6167,4.6,124.16,571.14,2026-04-21,GCP-BigQuery
WOL-0000268,WO-000150,PRJ-004,Pipefitter,WKR-6274,4.27,83.12,354.92,2026-04-08,GCP-BigQuery
WOL-0000269,WO-000151,PRJ-002,Ironworker,WKR-9400,3.76,57.12,214.77,2025-08-28,GCP-BigQuery
WOL-0000270,WO-000151,PRJ-002,Welder,WKR-2678,5.49,49.22,270.22,2025-08-28,GCP-BigQuery
WOL-0000271,WO-000151,PRJ-002,Instrument Tech,WKR-4896,4.48,78.57,351.99,2025-08-28,GCP-BigQuery
WOL-0000272,WO-000151,PRJ-002,Millwright,WKR-6914,7.12,122.8,874.34,2025-08-28,GCP-BigQuery
WOL-0000273,WO-000152,PRJ-007,Boilermaker,WKR-1398,5.41,108.21,585.42,2026-03-01,GCP-BigQuery
WOL-0000274,WO-000153,PRJ-008,Laborer,WKR-9343,11.62,100.86,1171.99,2025-06-19,GCP-BigQuery
WOL-0000275,WO-000153,PRJ-008,Carpenter,WKR-2497,6.13,84.11,515.59,2025-06-19,GCP-BigQuery
WOL-0000276,WO-000154,PRJ-005,Ironworker,WKR-5302,2.35,69.27,162.78,2025-05-24,GCP-BigQuery
WOL-0000277,WO-000155,PRJ-010,Ironworker,WKR-3465,4.18,101.31,423.48,2025-06-19,GCP-BigQuery
WOL-0000278,WO-000155,PRJ-010,Electrician,WKR-3441,5.26,65.03,342.06,2025-06-19,GCP-BigQuery
WOL-0000279,WO-000155,PRJ-010,Instrument Tech,WKR-2367,7.17,112.04,803.33,2025-06-19,GCP-BigQuery
WOL-0000280,WO-000156,PRJ-007,Pipefitter,WKR-1482,6.25,132.13,825.81,2025-10-26,GCP-BigQuery
WOL-0000281,WO-000157,PRJ-009,Boilermaker,WKR-1370,2.4,60.76,145.82,2026-02-28,GCP-BigQuery
WOL-0000282,WO-000157,PRJ-009,Boilermaker,WKR-5323,3.58,93.13,333.41,2026-02-28,GCP-BigQuery
WOL-0000283,WO-000157,PRJ-009,Carpenter,WKR-8847,4.0,57.33,229.32,2026-02-28,GCP-BigQuery
WOL-0000284,WO-000158,PRJ-004,Electrician,WKR-3754,6.6,124.79,823.61,2025-03-22,GCP-BigQuery
WOL-0000285,WO-000158,PRJ-004,Boilermaker,WKR-2545,8.28,128.33,1062.57,2025-03-22,GCP-BigQuery
WOL-0000286,WO-000158,PRJ-004,Ironworker,WKR-8315,10.01,102.94,1030.43,2025-03-22,GCP-BigQuery
WOL-0000287,WO-000158,PRJ-004,Laborer,WKR-2159,3.71,85.77,318.21,2025-03-22,GCP-BigQuery
WOL-0000288,WO-000161,PRJ-001,Carpenter,WKR-2082,2.63,53.7,141.23,2025-12-15,GCP-BigQuery
WOL-0000289,WO-000161,PRJ-001,Laborer,WKR-1514,5.01,99.94,500.7,2025-12-15,GCP-BigQuery
WOL-0000290,WO-000162,PRJ-011,Boilermaker,WKR-5129,8.49,64.74,549.64,2025-07-02,GCP-BigQuery
WOL-0000291,WO-000162,PRJ-011,Operator,WKR-3265,7.33,77.03,564.63,2025-07-02,GCP-BigQuery
WOL-0000292,WO-000163,PRJ-007,Electrician,WKR-5063,9.06,62.64,567.52,2025-10-18,GCP-BigQuery
WOL-0000293,WO-000163,PRJ-007,Welder,WKR-7846,5.37,87.53,470.04,2025-10-18,GCP-BigQuery
WOL-0000294,WO-000165,PRJ-004,Ironworker,WKR-7117,6.28,123.79,777.4,2025-04-10,GCP-BigQuery
WOL-0000295,WO-000165,PRJ-004,Boilermaker,WKR-2337,10.38,110.32,1145.12,2025-04-10,GCP-BigQuery
WOL-0000296,WO-000165,PRJ-004,Carpenter,WKR-6153,11.78,116.43,1371.55,2025-04-10,GCP-BigQuery
WOL-0000297,WO-000166,PRJ-007,Electrician,WKR-9392,3.73,101.45,378.41,2026-01-21,GCP-BigQuery
WOL-0000298,WO-000166,PRJ-007,Boilermaker,WKR-3857,8.76,80.4,704.3,2026-01-21,GCP-BigQuery
WOL-0000299,WO-000166,PRJ-007,Ironworker,WKR-2787,3.88,61.5,238.62,2026-01-21,GCP-BigQuery
WOL-0000300,WO-000166,PRJ-007,Pipefitter,WKR-1886,10.2,96.32,982.46,2026-01-21,GCP-BigQuery
WOL-0000301,WO-000167,PRJ-005,Instrument Tech,WKR-5581,9.49,114.88,1090.21,2025-04-25,GCP-BigQuery
WOL-0000302,WO-000167,PRJ-005,Carpenter,WKR-7494,10.15,129.96,1319.09,2025-04-25,GCP-BigQuery
WOL-0000303,WO-000167,PRJ-005,Carpenter,WKR-2083,3.06,104.64,320.2,2025-04-25,GCP-BigQuery
WOL-0000304,WO-000167,PRJ-005,Welder,WKR-8512,2.77,108.28,299.94,2025-04-25,GCP-BigQuery
WOL-0000305,WO-000169,PRJ-005,Electrician,WKR-6414,2.74,125.13,342.86,2025-04-06,GCP-BigQuery
WOL-0000306,WO-000169,PRJ-005,Electrician,WKR-2350,2.35,110.73,260.22,2025-04-06,GCP-BigQuery
WOL-0000307,WO-000169,PRJ-005,Laborer,WKR-5300,7.14,94.97,678.09,2025-04-06,GCP-BigQuery
WOL-0000308,WO-000169,PRJ-005,Millwright,WKR-8942,4.38,113.71,498.05,2025-04-06,GCP-BigQuery
WOL-0000309,WO-000170,PRJ-008,Ironworker,WKR-3409,5.21,71.82,374.18,2026-05-05,GCP-BigQuery
WOL-0000310,WO-000170,PRJ-008,Boilermaker,WKR-1230,2.51,72.45,181.85,2026-05-05,GCP-BigQuery
WOL-0000311,WO-000170,PRJ-008,Boilermaker,WKR-7210,9.88,70.27,694.27,2026-05-05,GCP-BigQuery
WOL-0000312,WO-000170,PRJ-008,Instrument Tech,WKR-9642,7.43,120.86,897.99,2026-05-05,GCP-BigQuery
WOL-0000313,WO-000172,PRJ-010,Millwright,WKR-4187,2.88,113.22,326.07,2026-01-15,GCP-BigQuery
WOL-0000314,WO-000172,PRJ-010,Pipefitter,WKR-1564,4.23,52.63,222.62,2026-01-15,GCP-BigQuery
WOL-0000315,WO-000172,PRJ-010,Laborer,WKR-7122,2.05,90.87,186.28,2026-01-15,GCP-BigQuery
WOL-0000316,WO-000172,PRJ-010,Boilermaker,WKR-7136,8.53,73.21,624.48,2026-01-15,GCP-BigQuery
WOL-0000317,WO-000174,PRJ-011,Operator,WKR-4221,9.34,85.61,799.6,2026-06-12,GCP-BigQuery
WOL-0000318,WO-000174,PRJ-011,Millwright,WKR-4590,10.16,113.86,1156.82,2026-06-12,GCP-BigQuery
WOL-0000319,WO-000174,PRJ-011,Pipefitter,WKR-1735,5.41,51.38,277.97,2026-06-12,GCP-BigQuery
WOL-0000320,WO-000174,PRJ-011,Operator,WKR-2375,2.54,50.12,127.3,2026-06-12,GCP-BigQuery
WOL-0000321,WO-000175,PRJ-005,Laborer,WKR-5997,9.98,121.56,1213.17,2025-12-08,GCP-BigQuery
WOL-0000322,WO-000175,PRJ-005,Instrument Tech,WKR-9379,8.24,58.78,484.35,2025-12-08,GCP-BigQuery
WOL-0000323,WO-000175,PRJ-005,Instrument Tech,WKR-1689,4.8,93.18,447.26,2025-12-08,GCP-BigQuery
WOL-0000324,WO-000175,PRJ-005,Carpenter,WKR-1099,10.71,68.29,731.39,2025-12-08,GCP-BigQuery
WOL-0000325,WO-000177,PRJ-009,Operator,WKR-1253,3.04,50.33,153.0,2026-07-18,GCP-BigQuery
WOL-0000326,WO-000177,PRJ-009,Laborer,WKR-4269,3.7,108.46,401.3,2026-07-18,GCP-BigQuery
WOL-0000327,WO-000177,PRJ-009,Welder,WKR-5799,2.16,133.96,289.35,2026-07-18,GCP-BigQuery
WOL-0000328,WO-000178,PRJ-012,Millwright,WKR-9975,7.19,93.24,670.4,2026-03-26,GCP-BigQuery
WOL-0000329,WO-000178,PRJ-012,Boilermaker,WKR-3038,8.13,125.05,1016.66,2026-03-26,GCP-BigQuery
WOL-0000330,WO-000179,PRJ-010,Laborer,WKR-8737,6.87,48.32,331.96,2026-06-26,GCP-BigQuery
WOL-0000331,WO-000179,PRJ-010,Millwright,WKR-9976,5.06,71.6,362.3,2026-06-26,GCP-BigQuery
WOL-0000332,WO-000180,PRJ-003,Ironworker,WKR-7132,3.23,71.1,229.65,2026-02-17,GCP-BigQuery
WOL-0000333,WO-000180,PRJ-003,Millwright,WKR-4740,11.86,85.46,1013.56,2026-02-17,GCP-BigQuery
WOL-0000334,WO-000180,PRJ-003,Welder,WKR-6802,7.7,83.21,640.72,2026-02-17,GCP-BigQuery
WOL-0000335,WO-000180,PRJ-003,Pipefitter,WKR-5661,10.61,49.36,523.71,2026-02-17,GCP-BigQuery
WOL-0000336,WO-000181,PRJ-009,Welder,WKR-7511,9.92,54.6,541.63,2026-01-19,GCP-BigQuery
WOL-0000337,WO-000181,PRJ-009,Ironworker,WKR-6198,9.71,100.4,974.88,2026-01-19,GCP-BigQuery
WOL-0000338,WO-000181,PRJ-009,Operator,WKR-7544,2.5,53.18,132.95,2026-01-19,GCP-BigQuery
WOL-0000339,WO-000181,PRJ-009,Ironworker,WKR-5489,3.06,69.04,211.26,2026-01-19,GCP-BigQuery
WOL-0000340,WO-000182,PRJ-005,Electrician,WKR-9224,9.9,118.24,1170.58,2025-09-14,GCP-BigQuery
WOL-0000341,WO-000182,PRJ-005,Laborer,WKR-7411,2.5,85.22,213.05,2025-09-14,GCP-BigQuery
WOL-0000342,WO-000183,PRJ-008,Operator,WKR-6302,5.63,108.54,611.08,2026-03-29,GCP-BigQuery
WOL-0000343,WO-000183,PRJ-008,Welder,WKR-6874,5.47,72.05,394.11,2026-03-29,GCP-BigQuery
WOL-0000344,WO-000183,PRJ-008,Boilermaker,WKR-6187,3.34,122.83,410.25,2026-03-29,GCP-BigQuery
WOL-0000345,WO-000183,PRJ-008,Instrument Tech,WKR-4879,3.12,109.21,340.74,2026-03-29,GCP-BigQuery
WOL-0000346,WO-000184,PRJ-004,Welder,WKR-9371,11.61,110.61,1284.18,2026-05-17,GCP-BigQuery
WOL-0000347,WO-000184,PRJ-004,Ironworker,WKR-2034,10.49,95.32,999.91,2026-05-17,GCP-BigQuery
WOL-0000348,WO-000184,PRJ-004,Boilermaker,WKR-7232,3.89,61.34,238.61,2026-05-17,GCP-BigQuery
WOL-0000349,WO-000185,PRJ-010,Electrician,WKR-4978,6.56,111.8,733.41,2026-05-07,GCP-BigQuery
WOL-0000350,WO-000185,PRJ-010,Electrician,WKR-9939,7.93,120.43,955.01,2026-05-07,GCP-BigQuery
WOL-0000351,WO-000186,PRJ-001,Millwright,WKR-8484,11.02,118.13,1301.79,2025-03-24,GCP-BigQuery
WOL-0000352,WO-000186,PRJ-001,Pipefitter,WKR-1301,5.34,67.06,358.1,2025-03-24,GCP-BigQuery
WOL-0000353,WO-000186,PRJ-001,Instrument Tech,WKR-9676,7.55,91.05,687.43,2025-03-24,GCP-BigQuery
WOL-0000354,WO-000187,PRJ-003,Carpenter,WKR-8789,5.33,81.3,433.33,2025-03-25,GCP-BigQuery
WOL-0000355,WO-000187,PRJ-003,Ironworker,WKR-2953,11.72,115.54,1354.13,2025-03-25,GCP-BigQuery
WOL-0000356,WO-000187,PRJ-003,Operator,WKR-4804,3.13,66.2,207.21,2025-03-25,GCP-BigQuery
WOL-0000357,WO-000187,PRJ-003,Operator,WKR-7035,4.37,126.39,552.32,2025-03-25,GCP-BigQuery
WOL-0000358,WO-000188,PRJ-006,Boilermaker,WKR-4072,4.74,81.12,384.51,2026-04-16,GCP-BigQuery
WOL-0000359,WO-000188,PRJ-006,Boilermaker,WKR-2449,9.14,55.77,509.74,2026-04-16,GCP-BigQuery
WOL-0000360,WO-000188,PRJ-006,Laborer,WKR-9812,3.28,70.83,232.32,2026-04-16,GCP-BigQuery
WOL-0000361,WO-000190,PRJ-002,Millwright,WKR-6745,3.9,56.8,221.52,2026-07-05,GCP-BigQuery
WOL-0000362,WO-000190,PRJ-002,Millwright,WKR-1033,5.93,55.99,332.02,2026-07-05,GCP-BigQuery
WOL-0000363,WO-000190,PRJ-002,Welder,WKR-3077,2.79,93.48,260.81,2026-07-05,GCP-BigQuery
WOL-0000364,WO-000190,PRJ-002,Boilermaker,WKR-2303,9.78,122.6,1199.03,2026-07-05,GCP-BigQuery
WOL-0000365,WO-000191,PRJ-010,Millwright,WKR-6330,3.47,72.94,253.1,2025-03-21,GCP-BigQuery
WOL-0000366,WO-000191,PRJ-010,Welder,WKR-6894,9.87,78.06,770.45,2025-03-21,GCP-BigQuery
WOL-0000367,WO-000191,PRJ-010,Boilermaker,WKR-2735,8.74,119.54,1044.78,2025-03-21,GCP-BigQuery
WOL-0000368,WO-000191,PRJ-010,Millwright,WKR-2401,4.09,133.13,544.5,2025-03-21,GCP-BigQuery
WOL-0000369,WO-000192,PRJ-010,Pipefitter,WKR-5625,8.71,106.97,931.71,2025-07-21,GCP-BigQuery
WOL-0000370,WO-000192,PRJ-010,Pipefitter,WKR-5382,4.28,60.31,258.13,2025-07-21,GCP-BigQuery
WOL-0000371,WO-000194,PRJ-012,Ironworker,WKR-2818,9.73,109.76,1067.96,2026-03-06,GCP-BigQuery
WOL-0000372,WO-000194,PRJ-012,Carpenter,WKR-5518,11.71,111.32,1303.56,2026-03-06,GCP-BigQuery
WOL-0000373,WO-000194,PRJ-012,Pipefitter,WKR-2241,6.05,100.97,610.87,2026-03-06,GCP-BigQuery
WOL-0000374,WO-000195,PRJ-006,Millwright,WKR-4146,3.81,98.72,376.12,2025-09-08,GCP-BigQuery
WOL-0000375,WO-000195,PRJ-006,Ironworker,WKR-4796,5.39,120.56,649.82,2025-09-08,GCP-BigQuery
WOL-0000376,WO-000195,PRJ-006,Welder,WKR-6066,7.27,96.97,704.97,2025-09-08,GCP-BigQuery
WOL-0000377,WO-000196,PRJ-010,Welder,WKR-5561,7.99,77.11,616.11,2026-07-17,GCP-BigQuery
WOL-0000378,WO-000196,PRJ-010,Instrument Tech,WKR-8995,3.46,134.49,465.34,2026-07-17,GCP-BigQuery
WOL-0000379,WO-000196,PRJ-010,Operator,WKR-8783,6.17,74.22,457.94,2026-07-17,GCP-BigQuery
WOL-0000380,WO-000196,PRJ-010,Millwright,WKR-8280,9.21,105.02,967.23,2026-07-17,GCP-BigQuery
WOL-0000381,WO-000197,PRJ-007,Ironworker,WKR-7025,10.89,87.7,955.05,2025-08-17,GCP-BigQuery
WOL-0000382,WO-000197,PRJ-007,Electrician,WKR-5272,6.42,103.51,664.53,2025-08-17,GCP-BigQuery
WOL-0000383,WO-000197,PRJ-007,Ironworker,WKR-2941,9.77,48.46,473.45,2025-08-17,GCP-BigQuery
WOL-0000384,WO-000200,PRJ-012,Welder,WKR-8452,11.45,92.11,1054.66,2025-07-31,GCP-BigQuery
WOL-0000385,WO-000200,PRJ-012,Millwright,WKR-1129,6.04,87.31,527.35,2025-07-31,GCP-BigQuery
WOL-0000386,WO-000202,PRJ-005,Millwright,WKR-8574,11.62,121.44,1411.13,2025-12-09,GCP-BigQuery
WOL-0000387,WO-000202,PRJ-005,Millwright,WKR-6363,3.99,71.37,284.77,2025-12-09,GCP-BigQuery
WOL-0000388,WO-000202,PRJ-005,Pipefitter,WKR-7715,8.56,65.64,561.88,2025-12-09,GCP-BigQuery
WOL-0000389,WO-000202,PRJ-005,Electrician,WKR-3760,4.0,70.88,283.52,2025-12-09,GCP-BigQuery
WOL-0000390,WO-000203,PRJ-007,Laborer,WKR-4674,9.32,94.17,877.66,2026-05-03,GCP-BigQuery
WOL-0000391,WO-000203,PRJ-007,Laborer,WKR-6700,10.13,81.92,829.85,2026-05-03,GCP-BigQuery
WOL-0000392,WO-000203,PRJ-007,Operator,WKR-1376,4.06,91.78,372.63,2026-05-03,GCP-BigQuery
WOL-0000393,WO-000205,PRJ-005,Ironworker,WKR-1719,6.27,93.27,584.8,2025-03-29,GCP-BigQuery
WOL-0000394,WO-000206,PRJ-012,Boilermaker,WKR-9121,8.52,101.43,864.18,2026-03-13,GCP-BigQuery
WOL-0000395,WO-000206,PRJ-012,Pipefitter,WKR-7576,2.95,78.57,231.78,2026-03-13,GCP-BigQuery
WOL-0000396,WO-000207,PRJ-002,Boilermaker,WKR-7469,10.7,74.94,801.86,2026-03-02,GCP-BigQuery
WOL-0000397,WO-000207,PRJ-002,Pipefitter,WKR-1851,7.77,133.56,1037.76,2026-03-02,GCP-BigQuery
WOL-0000398,WO-000207,PRJ-002,Welder,WKR-3768,7.48,99.55,744.63,2026-03-02,GCP-BigQuery
WOL-0000399,WO-000207,PRJ-002,Instrument Tech,WKR-5082,2.47,52.53,129.75,2026-03-02,GCP-BigQuery
WOL-0000400,WO-000209,PRJ-003,Instrument Tech,WKR-5490,9.0,63.74,573.66,2026-04-03,GCP-BigQuery
WOL-0000401,WO-000209,PRJ-003,Laborer,WKR-6088,5.77,131.9,761.06,2026-04-03,GCP-BigQuery
WOL-0000402,WO-000209,PRJ-003,Electrician,WKR-1062,10.36,127.03,1316.03,2026-04-03,GCP-BigQuery
WOL-0000403,WO-000209,PRJ-003,Laborer,WKR-2742,10.09,79.43,801.45,2026-04-03,GCP-BigQuery
WOL-0000404,WO-000210,PRJ-008,Laborer,WKR-9937,7.79,84.93,661.6,2026-01-27,GCP-BigQuery
WOL-0000405,WO-000210,PRJ-008,Electrician,WKR-9124,4.9,83.94,411.31,2026-01-27,GCP-BigQuery
WOL-0000406,WO-000210,PRJ-008,Ironworker,WKR-3789,4.89,61.28,299.66,2026-01-27,GCP-BigQuery
WOL-0000407,WO-000211,PRJ-009,Operator,WKR-7523,10.6,57.96,614.38,2025-07-16,GCP-BigQuery
WOL-0000408,WO-000211,PRJ-009,Instrument Tech,WKR-7857,7.67,106.19,814.48,2025-07-16,GCP-BigQuery
WOL-0000409,WO-000211,PRJ-009,Instrument Tech,WKR-3499,11.59,78.15,905.76,2025-07-16,GCP-BigQuery
WOL-0000410,WO-000212,PRJ-003,Carpenter,WKR-5263,7.81,85.36,666.66,2025-09-26,GCP-BigQuery
WOL-0000411,WO-000212,PRJ-003,Electrician,WKR-9417,2.69,60.9,163.82,2025-09-26,GCP-BigQuery
WOL-0000412,WO-000213,PRJ-007,Pipefitter,WKR-7016,7.9,113.65,897.84,2025-08-20,GCP-BigQuery
WOL-0000413,WO-000213,PRJ-007,Pipefitter,WKR-2819,4.23,80.81,341.83,2025-08-20,GCP-BigQuery
WOL-0000414,WO-000213,PRJ-007,Ironworker,WKR-5386,5.42,104.46,566.17,2025-08-20,GCP-BigQuery
WOL-0000415,WO-000218,PRJ-005,Instrument Tech,WKR-4109,2.25,48.14,108.31,2026-05-25,GCP-BigQuery
WOL-0000416,WO-000219,PRJ-009,Millwright,WKR-1295,11.49,51.9,596.33,2026-05-10,GCP-BigQuery
WOL-0000417,WO-000219,PRJ-009,Ironworker,WKR-4849,7.78,108.84,846.78,2026-05-10,GCP-BigQuery
WOL-0000418,WO-000219,PRJ-009,Instrument Tech,WKR-6715,2.08,102.97,214.18,2026-05-10,GCP-BigQuery
WOL-0000419,WO-000220,PRJ-002,Boilermaker,WKR-7445,9.73,64.39,626.51,2025-07-05,GCP-BigQuery
WOL-0000420,WO-000220,PRJ-002,Laborer,WKR-2583,8.25,104.75,864.19,2025-07-05,GCP-BigQuery
WOL-0000421,WO-000221,PRJ-005,Instrument Tech,WKR-2009,9.37,90.58,848.73,2025-08-07,GCP-BigQuery
WOL-0000422,WO-000223,PRJ-002,Boilermaker,WKR-7873,3.67,73.23,268.75,2026-03-25,GCP-BigQuery
WOL-0000423,WO-000223,PRJ-002,Carpenter,WKR-7660,6.09,109.14,664.66,2026-03-25,GCP-BigQuery
WOL-0000424,WO-000225,PRJ-007,Instrument Tech,WKR-1926,8.74,101.14,883.96,2026-03-16,GCP-BigQuery
WOL-0000425,WO-000225,PRJ-007,Ironworker,WKR-5847,3.98,121.32,482.85,2026-03-16,GCP-BigQuery
WOL-0000426,WO-000225,PRJ-007,Carpenter,WKR-1973,6.66,129.19,860.41,2026-03-16,GCP-BigQuery
WOL-0000427,WO-000226,PRJ-003,Welder,WKR-6793,6.86,111.02,761.6,2025-08-25,GCP-BigQuery
WOL-0000428,WO-000226,PRJ-003,Carpenter,WKR-5079,4.37,52.1,227.68,2025-08-25,GCP-BigQuery
WOL-0000429,WO-000226,PRJ-003,Welder,WKR-8059,9.87,76.29,752.98,2025-08-25,GCP-BigQuery
WOL-0000430,WO-000226,PRJ-003,Operator,WKR-3571,8.55,108.51,927.76,2025-08-25,GCP-BigQuery
WOL-0000431,WO-000227,PRJ-009,Boilermaker,WKR-6634,3.82,69.45,265.3,2026-05-06,GCP-BigQuery
WOL-0000432,WO-000227,PRJ-009,Pipefitter,WKR-8915,3.27,66.31,216.83,2026-05-06,GCP-BigQuery
WOL-0000433,WO-000227,PRJ-009,Ironworker,WKR-6436,6.41,71.22,456.52,2026-05-06,GCP-BigQuery
WOL-0000434,WO-000227,PRJ-009,Laborer,WKR-1792,7.25,128.31,930.25,2026-05-06,GCP-BigQuery
WOL-0000435,WO-000228,PRJ-005,Welder,WKR-8716,2.16,127.47,275.34,2025-04-12,GCP-BigQuery
WOL-0000436,WO-000228,PRJ-005,Boilermaker,WKR-5075,8.35,94.53,789.33,2025-04-12,GCP-BigQuery
WOL-0000437,WO-000228,PRJ-005,Millwright,WKR-5617,6.82,114.92,783.75,2025-04-12,GCP-BigQuery
WOL-0000438,WO-000229,PRJ-005,Electrician,WKR-3938,2.58,58.98,152.17,2026-02-03,GCP-BigQuery
WOL-0000439,WO-000230,PRJ-005,Electrician,WKR-3151,5.68,125.64,713.64,2025-05-26,GCP-BigQuery
WOL-0000440,WO-000230,PRJ-005,Boilermaker,WKR-5911,5.2,67.4,350.48,2025-05-26,GCP-BigQuery
WOL-0000441,WO-000231,PRJ-007,Instrument Tech,WKR-9834,7.32,130.81,957.53,2026-02-13,GCP-BigQuery
WOL-0000442,WO-000231,PRJ-007,Carpenter,WKR-7745,10.37,118.06,1224.28,2026-02-13,GCP-BigQuery
